fid,REG,PROV,MUN,SEC,DM,TOPONIMIA,KM2,ENLACE,RUP,TOPO2
5407,04,27,01,04,03,PUEBLO NUEVO,19.5522449077672,27010304,04,Pueblo Nuevo
5408,04,27,01,01,04,GUATAPANAL (ZONA URBANA),2.04452007856431,27010401,04,Guatapanal (Zona Urbana)
5409,04,27,01,02,04,BORUCO,23.058220933402,27010402,04,Boruco
5410,04,27,01,03,04,JINAMAGAO,36.3548990797757,27010403,04,Jinamagao
5411,04,27,01,04,04,POTRERO,47.733272370632,27010404,04,Potrero
6111,10,32,07,06,01,FRASQUITO GÓMEZ,6.50663722945832,32070106,10,Frasquito Gómez
6112,10,32,07,03,03,LA ESTANCIA,40.0761255585239,32070303,10,La Estancia
6113,05,21,05,02,01,CATAREY,78.8933794680635,21050102,05,Catarey
5412,04,27,02,01,01,ESPERANZA (ZONA URBANA),8.49866821420256,27020101,04,Esperanza (Zona Urbana)
5413,04,27,02,02,01,PEÑUELA,30.8233180277731,27020102,04,Peñuela
5414,04,27,02,03,01,PONTÓN (VILLA HENEQUÉN),24.5568909808818,27020103,04,Pontón (Villa Henequén)
5415,04,27,02,01,02,MAIZAL (ZONA URBANA),1.88393448436439,27020201,04,Maizal (Zona Urbana)
5416,04,27,02,02,02,DAMAJAGUA,20.3926430189525,27020202,04,Damajagua
5417,04,27,02,03,02,LÍNEA A,9.81924794281645,27020203,04,Línea A
5418,04,27,02,04,02,LOMA DE MAIMÓN,8.14536643074554,27020204,04,Loma De Maimón
5419,04,27,02,05,02,LOMA DE PALMA PICADA,12.4390295060136,27020205,04,Loma De Palma Picada
5420,04,27,02,06,02,MAIMÓN,12.3755853866784,27020206,04,Maimón
5421,04,27,02,01,03,JICOMÉ (ZONA URBANA),1.38552234912374,27020301,04,Jicomé (Zona Urbana)
5422,04,27,02,02,03,KILÓMETRO 7,11.6896994588601,27020302,04,Kilómetro 7
5423,04,27,02,03,03,JICOMÉ,21.0366918879606,27020303,04,Jicomé
5424,04,27,02,01,04,BOCA DE MAO (ZONA URBANA),1.87587880735291,27020401,04,Boca De Mao (Zona Urbana)
5425,04,27,02,02,04,BOCA DE MAO,29.4697760795775,27020402,04,Boca De Mao
5426,04,27,02,01,05,PARADERO (ZONA URBANA),1.11062083732947,27020501,04,Paradero (Zona Urbana)
5427,04,27,02,02,05,LA CAYOTA,1.54226634780287,27020502,04,La Cayota
5428,04,27,02,03,05,LOMA DE AGUACATE,8.6132573698474,27020503,04,Loma De Aguacate
5429,04,27,02,04,05,LA CABIRMA,14.0669222208514,27020504,04,La Cabirma
5430,04,27,03,01,01,LAGUNA SALADA (ZONA URBANA),3.71178411462967,27030101,04,Laguna Salada (Zona Urbana)
5431,04,27,03,02,01,RANCHETE,37.7587878441037,27030102,04,Ranchete
6148,03,14,04,01,01,RÍO SAN JUAN (ZONA URBANA),4.24630043299147,14040101,03,Río San Juan (Zona Urbana)
6149,03,14,04,02,01,LOS CACAOS,189.411315362579,14040102,03,Los Cacaos
5432,04,27,03,01,02,JAIBÓN (ZONA URBANA),3.13788798138894,27030201,04,Jaibón (Zona Urbana)
5433,04,27,03,02,02,ENTRADA DE POZO PRIETO,21.1984954974236,27030202,04,Entrada De Pozo Prieto
5434,04,27,03,01,03,LA CAYA (ZONA URBANA),1.39602702303615,27030301,04,La Caya (Zona Urbana)
5435,04,27,03,02,03,POZO PRIETO,20.3338066232977,27030302,04,Pozo Prieto
5436,04,27,03,03,03,PALO AMARILLO,35.21717185681,27030303,04,Palo Amarillo
6150,03,14,04,03,01,MATA PUERCO,50.692241279253,14040103,03,Mata Puerco
6151,03,14,01,04,03,LOS JENGIBRES,71.3574699916893,14010304,03,Los Jengibres
6152,03,14,02,02,03,CAÑO AZUL COLORADO,22.2938417033375,14020302,03,Caño Azul Colorado
5437,04,27,03,01,04,CRUCE DE GUAYACANES (ZONA URBANA),4.36024630040244,27030401,04,Cruce De Guayacanes (Zona Urbana)
5438,04,27,03,02,04,OJO DE AGUA,8.26922589429371,27030402,04,Ojo De Agua
5439,04,27,03,03,04,LOMA DE GUAYACANES,14.9494257470326,27030403,04,Loma De Guayacanes
5440,04,27,03,04,04,GUAYACANES ADENTRO,15.8866108115886,27030404,04,Guayacanes Adentro
5441,04,27,03,03,02,SAN ROQUE,18.22282813293,27030203,04,San Roque
5442,01,09,01,01,01,MOCA (ZONA URBANA),17.0085015424945,09010101,01,Moca (Zona Urbana)
5443,01,09,01,02,01,ZAFARRAYA,15.3240364491469,09010102,01,Zafarraya
5444,01,09,01,03,01,EL ALGARROBO,7.7062468279557,09010103,01,El Algarrobo
5445,01,09,01,05,01,PASO DE MOCA,15.1981507400262,09010105,01,Paso De Moca
5446,01,09,01,06,01,SAN LUIS,5.932286570865,09010106,01,San Luis
5447,01,09,01,01,02,JOSÉ CONTRERAS (ZONA URBANA),1.85746317521836,09010201,01,José Contreras (Zona Urbana)
5448,01,09,01,02,02,CAMARONES,7.20616348291708,09010202,01,Camarones
5449,01,09,01,03,02,PALMA HERRADA,22.3644218672422,09010203,01,Palma Herrada
5450,01,09,01,04,02,RANCHO DE LOS PLÁTANOS,36.2745034695795,09010204,01,Rancho De Los Plátanos
5451,01,09,01,01,04,JUAN LÓPEZ (ZONA URBANA),1.51986212614346,09010401,01,Juan López (Zona Urbana)
5452,01,09,01,02,04,JUAN LÓPEZ ABAJO,3.85684992161916,09010402,01,Juan López Abajo
5453,01,09,01,03,04,LOS ROBLES,3.19376339806206,09010403,01,Los Robles
5454,01,09,01,04,04,JUAN LÓPEZ ARRIBA,3.29989706164999,09010404,01,Juan López Arriba
5455,01,09,01,05,04,EL SALITRE,9.77835003551918,09010405,01,El Salitre
5456,01,09,01,01,05,LAS LAGUNAS (ZONA URBANA),1.53475661033511,09010501,01,Las Lagunas (Zona Urbana)
5457,01,09,01,02,05,LAS LAGUNAS ABAJO,15.0076484267437,09010502,01,Las Lagunas Abajo
5458,01,09,01,03,05,EL AGUACATE ARRIBA,21.1777042996819,09010503,01,El Aguacate Arriba
5459,01,09,01,04,05,BOCA FÉRREA ABAJO,4.11601164919457,09010504,01,Boca Férrea Abajo
5460,01,09,01,01,06,CANCA LA REYNA (ZONA URBANA),3.32531379748412,09010601,01,Canca La Reyna (Zona Urbana)
5461,01,09,01,02,06,CANCA REPARACIÓN,5.43425263021028,09010602,01,Canca Reparación
5462,01,09,01,01,07,EL HIGÜERITO (ZONA URBANA),4.03636967336003,09010701,01,El Higüerito (Zona Urbana)
5463,01,09,01,03,07,REPARADERO,1.1357171197439,09010703,01,Reparadero
5464,01,09,01,01,08,MONTE DE LA JAGUA (ZONA URBANA),4.90264605078578,09010801,01,Monte De La Jagua (Zona Urbana)
5465,01,09,01,03,08,LOS VARGAS,5.71463905458986,09010803,01,Los Vargas
5466,01,09,01,04,08,SARAMBAMBA,2.73510570369473,09010804,01,Sarambamba
5467,01,09,01,01,09,LA ORTEGA (ZONA URBANA),0.405056681219365,09010901,01,La Ortega (Zona Urbana)
5468,01,09,01,02,09,LA GRAN CANARIA,1.24579290404296,09010902,01,La Gran Canaria
5469,01,09,01,03,09,SANTA CRUZ DE TENERIFE,1.71166186938636,09010903,01,Santa Cruz De Tenerife
5470,01,09,02,01,01,CAYETANO GERMOSÉN O GUANÁBANO (ZONA URBANA),1.9557175048645,09020101,01,Cayetano Germosén O Guanábano (Zona Urbana)
5471,01,09,02,02,01,LA GUAMA (DE GUANÁBANO),6.99121800899013,09020102,02,La Guama (De Guanábano)
5472,01,09,02,03,01,HATO VIEJO,8.8586181349488,09020103,01,Hato Viejo
5473,01,09,03,01,01,GASPAR HERNÁNDEZ (ZONA URBANA),4.81270812272255,09030101,01,Gaspar Hernández (Zona Urbana)
5474,01,09,03,02,01,BEJUCO BLANCO,48.6021136347666,09030102,01,Bejuco Blanco
5475,01,09,03,03,01,EL JOBO,26.9870299711548,09030103,01,El Jobo
5476,01,09,03,04,01,OJO DE AGUA,69.6813891311818,09030104,01,Ojo De Agua
5477,01,09,03,01,02,JOBA ARRIBA (ZONA URBANA),0.621215970739095,09030201,01,Joba Arriba (Zona Urbana)
5478,01,09,03,02,02,EL HIGÜERO,26.7255049062998,09030202,01,El Higüero
